date,ensemble,dji
2022-09-06,1064791.2054889763,988991.2092303929
2022-09-07,1054034.4067164697,986183.1645491472
2022-09-08,1054660.413141732,997198.089840462
2022-09-09,1071252.1624334725,998950.9967879904
2022-09-12,1070053.2686041268,1004330.3849777832
2022-09-13,1069763.93779358,1011947.8294169633
2022-09-14,1074076.8472021492,1008203.6828274768
2022-09-15,1097771.9873074272,1001304.4995150464
2022-09-16,1094926.383542291,983040.2663478804
2022-09-19,1104398.0423252496,988059.6755829982
2022-09-20,1110977.3599827203,997724.6797942821
2022-09-21,1103879.6850559623,993331.5138602991
2022-09-22,1119931.7076084528,987700.2839761464
2022-09-23,1113876.7161838922,970646.0525853812
2022-09-26,1058063.8355381405,954712.7418845173
2022-09-27,1052431.84133648,954082.9092355745
2022-09-28,1047051.7715453118,945575.1760183534
2022-09-29,1036690.02862539,942428.9495127558
2022-09-30,1058778.8643187494,959419.0947299368
2022-10-03,1029124.9090323572,948758.2749150663
2022-10-04,1046473.96721412,970087.158501292
2022-10-06,1047846.1029893808,972703.9888356925
2022-10-07,1055684.677696412,972189.2110992032
2022-10-10,1063638.3388902596,968844.8525946221
2022-10-11,1030605.3226984874,954747.8522321632
2022-10-12,1045511.5012885828,962743.5486694027
2022-10-13,1041949.0859672328,956218.1796159241
2022-10-14,1053385.1092445157,967656.321644198
2022-10-17,1049127.4022361538,975859.5476455902
2022-10-18,1072931.9703132412,985041.9477289151
2022-10-19,1084604.5846092007,987490.9923685244
2022-10-20,1097487.3673087857,989089.9489255385
2022-10-21,1102831.3197089932,990831.6310035595
2022-10-24,1130393.4507056973,999594.5342194715
2022-10-25,1113078.72423475,994788.0059397832
2022-10-27,1110057.5991279385,998344.5275302324
2022-10-28,1116979.5337592862,1001736.2001650056
2022-10-31,1131717.681128671,1014880.0655323544
2022-11-01,1140915.6188117764,1021141.1280654499
2022-11-02,1130686.798491647,1017544.7973447702
2022-11-03,1131719.4903861785,1016380.6739594383
2022-11-04,1132240.7379752896,1018284.3987757583
2022-11-07,1134382.311484506,1022206.9685817207
2022-11-09,1126081.473883798,1019674.2595077582
2022-11-10,1116402.5106117032,1012659.8907611362
2022-11-11,1127202.3630897305,1032396.2786164016
2022-11-14,1116289.663184335,1029541.2461093101
2022-11-15,1115210.2012702725,1033698.5592618943
2022-11-16,1117468.1925880215,1035498.3887743996
2022-11-17,1116553.779502084,1031653.8709680367
2022-11-18,1112620.2098151944,1030198.3578015909
2022-11-21,1104503.4780189297,1021533.5416721323
2022-11-22,1101390.3404609463,1026113.2231703756
2022-11-23,1099276.8214484951,1027643.8515973054
2022-11-24,1109601.15543287,1040376.1166624181
2022-11-25,1103370.818701913,1040726.3064867085
2022-11-28,1114353.2552253506,1044254.1132946963
2022-11-29,1125190.5592109463,1047211.8664099566
2022-11-30,1131791.439322641,1054192.103721971
2022-12-01,1130407.7360145352,1057275.2229670228
2022-12-02,1116153.873114755,1050330.3570461313
2022-12-05,1116412.1132270596,1049764.0232229496
2022-12-06,1123200.62267225,1046284.966284277
2022-12-07,1126897.9851905606,1042681.6526505897
2022-12-08,1128820.3868781826,1045354.7378542669
2022-12-09,1143830.3696052334,1038855.6689310884
2022-12-12,1154541.8944160244,1038001.9262398161
2022-12-13,1152249.3022681973,1044730.2565966012
2022-12-14,1142883.6761543057,1047146.2139755108
2022-12-15,1127106.8444282317,1032462.9752247551
2022-12-16,1126193.4377509854,1024757.4286121142
2022-12-19,1141248.4482337737,1032582.5983980546
2022-12-20,1140200.248099496,1030846.7245373952
2022-12-21,1146349.6976539397,1020237.0692440011
2022-12-22,1140780.3381416104,1016210.4083516161
2022-12-23,1126773.4451209805,999822.2293922164
2022-12-26,1120864.6057807703,1011870.0384608408
2022-12-27,1121106.2295448086,1017901.3174733757
2022-12-28,1122731.6896735928,1017614.8222574544
2022-12-29,1120089.982413461,1021350.4196730718
2022-12-30,1108344.57038038,1016452.9830025455
2023-01-02,1107519.80525892,1021916.9492788609
2023-01-03,1114099.381812265,1024028.8562680259
2023-01-04,1102800.7206031582,1013390.8124965167
2023-01-05,1115903.1647865078,1008308.9486095454
2023-01-06,1119434.0491554043,
