date,ensemble,dji
2022-09-23,1078919.1464572912,970646.0525853812
2022-09-26,1072379.761500931,954712.7418845173
2022-09-27,1083638.405467606,954082.9092355745
2022-09-28,1099108.7393833166,945575.1760183534
2022-09-29,1114963.7648731235,942428.9495127558
2022-09-30,1118246.431552506,959419.0947299368
2022-10-03,1134074.8767353063,948758.2749150663
2022-10-04,1138731.6961170202,970087.158501292
2022-10-06,1133250.052936173,972703.9888356925
2022-10-07,1129818.82716713,972189.2110992032
2022-10-10,1130307.989276505,968844.8525946221
2022-10-11,1099417.4503877263,954747.8522321632
2022-10-12,1113260.4820748754,962743.5486694027
2022-10-13,1100521.808612961,956218.1796159241
2022-10-14,1107378.0749703832,967656.321644198
2022-10-17,1106130.2859078832,975859.5476455902
2022-10-18,1130300.718647141,985041.9477289151
2022-10-19,1145889.2181588598,987490.9923685244
2022-10-20,1162999.928363938,989089.9489255385
2022-10-21,1174229.000019211,990831.6310035595
2022-10-24,1202597.6062203832,999594.5342194715
2022-10-25,1174871.1126901098,994788.0059397832
2022-10-27,1167039.277362961,998344.5275302324
2022-10-28,1174575.1181832738,1001736.2001650056
2022-10-31,1186098.916645188,1014880.0655323544
2022-11-01,1199743.078022141,1021141.1280654499
2022-11-02,1190613.9880563207,1017544.7973447702
2022-11-03,1189603.4248238988,1016380.6739594383
2022-11-04,1190236.4083444066,1018284.3987757583
2022-11-07,1193415.180317063,1022206.9685817207
2022-11-09,1185785.2826119848,1019674.2595077582
2022-11-10,1178223.6035348363,1012659.8907611362
2022-11-11,1190255.6999703832,1032396.2786164016
2022-11-14,1176777.6266061254,1029541.2461093101
2022-11-15,1176878.3083688207,1033698.5592618943
2022-11-16,1179371.6645699926,1035498.3887743996
2022-11-17,1173622.769428391,1031653.8709680367
2022-11-18,1168693.199237961,1030198.3578015909
2022-11-21,1157965.4131051488,1021533.5416721323
2022-11-22,1151140.736591477,1026113.2231703756
2022-11-23,1148755.8968697973,1027643.8515973054
2022-11-24,1161514.5072213598,1040376.1166624181
2022-11-25,1154416.654194016,1040726.3064867085
2022-11-28,1169877.0543405004,1044254.1132946963
2022-11-29,1184439.3282662816,1047211.8664099566
2022-11-30,1188557.4341012426,1054192.103721971
2022-12-01,1185713.3539010473,1057275.2229670228
2022-12-02,1170498.6024362035,1050330.3570461313
2022-12-05,1170568.506488938,1049764.0232229496
2022-12-06,1177310.978778977,1046284.966284277
